LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C49023728,HC-DC0167A-F-2WB-2.5-M-08,HCTL,,-,DC Power Jack -20℃~+80℃ 2.5mm 5.5mm 5A 20V Power Connectors RoHS,YES,5,0.6145,3.07,,,
C2843781,XL-2835RGBC-KS,XINGLIGHT,,SMD2835-2P,120° SMD2835-2P LED Indication - Discrete RoHS,YES,10,0.0456,0.46,,,
C53055684,GT-USB-9812A,G-Switch,,SMD,"USB 3.0 SMD USB, DVI, HDMI Connector Adapters RoHS",YES,5,1.1043,5.52,,,
C2907044,FRC0603F5101TS,FOJAN,,0603,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.0012,0.12,,,
C105872,RC0402FR-075K1L,YAGEO,,0402,5.1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0009,0.09,,,
C27834,0805W8F5101T5E,UNI-ROYAL,,0805,5.1kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0024,0.24,,,
C29936,CL10B105KA8NNNC,Samsung Electro-Mechanics,,0603,1uF ±10% 25V Ceramic Capacitor X7R 0603,YES,100,0.0064,0.64,,,
C59782,CL10B105KO8NNNC,Samsung Electro-Mechanics,,0603,1uF ±10% 16V Ceramic Capacitor X7R 0603,YES,100,0.0058,0.58,,,
C209892,ANT016008LCS2442MA2,TDK,,"SMD-6P,1.6x0.8mm","RF ANTENNA 2.4G Surface Mount-6P,1.6x0.8mm",YES,5,0.2311,1.16,,,
C42371093,MIC-4013-G-G00,SAMZO,,"SMD,D=4mm","SMD,D=4mm Microphones RoHS",YES,5,0.0571,0.29,,,
C347222,AMS1117-3.3,UMW,,SOT-223,Linear Voltage Regulator IC Positive Fixed 1 Output 1A SOT-223,YES,10,0.0401,0.40,,,
C114662,RC0603FR-072K2L,YAGEO,,0603,100mW 2.2kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0015,0.15,,,
C114762,RC0402FR-072K2L,YAGEO,,0402,62.5mW 2.2kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0009,0.09,,,
C105881,RC0603FR-07330RL,YAGEO,,0603,100mW 330Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0015,0.15,,,
C105875,RC0402FR-07330RL,YAGEO,,0402,330Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0009,0.09,,,
C22548,RC0603FR-071KL,YAGEO,,0603,100mW 1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0014,0.14,,,
C106235,RC0402FR-071KL,YAGEO,,0402,1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0008,0.08,,,
C60491,RC0402FR-07100KL,YAGEO,,0402,100kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0009,0.09,,,
C14675,RC0603FR-07100KL,YAGEO,,0603,100mW 100kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,200,0.0014,0.28,,,
C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,,0603,10uF ±10% 10V Ceramic Capacitor X5R 0603,YES,100,0.008,0.80,,,
C2655167,VL6180V1NR/1,ST,,SMD-12P,0cm~62cm I2C SMD-12P Distance Measuring RoHS,YES,3,1.6303,4.89,,,
C190862,W25Q128JVPIQ,Winbond,,WSON-8-EP(5x6),2.7V~3.6V 128Mbit 133MHz SPI WSON-8-EP(5x6) Memory (ICs) RoHS,YES,5,2.3853,11.93,,,
C14663,CC0603KRX7R9BB104,YAGEO,,0603,100nF ±10% 50V Ceramic Capacitor X7R 0603,YES,100,0.0028,0.28,,,
C49333234,HGC0603R7475K100NTHJ,Chinocera,,0603,4.7uF X7R ±10% 10V 0603 Ceramic Capacitors RoHS,YES,50,0.0112,0.56,,,
C541464,CC0402JRX7R7BB104,YAGEO,,0402,100nF ±5% 16V Ceramic Capacitor X7R 0402,YES,200,0.0018,0.36,,,
C2906861,FRC0402F1002TS,FOJAN,,0402,10kΩ ±1% 62.5mW 0402 Thick Film Resistor,YES,100,0.0006,0.06,,,
C380001,MLG0603P2N0ST000,TDK,,0201,600mA 2nH 30mΩ Multilayer inductor 0201 Fixed Inductors RoHS,YES,50,0.0048,0.24,,,
C49653491,GR0201F1KTAG00,GiantOhm,,0201,50mW 1kΩ 25V Thick Film Resistor ±200ppm/℃ ±1% 0201 Chip Resistor - Surface Mount RoHS,YES,100,0.0006,0.06,,,
C170309,WR04X4021FTL,Walsin,,0402,62.5mW 4.02kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0004,0.04,,,
C2928889,GD25LQ128EWIGR,GigaDevice Semicon Beijing,,WSON-8-EP(5x6),128Mbit 1.65V~2V 120MHz SPI WSON-8-EP(5x6) Memory (ICs) RoHS,YES,1,1.5908,1.59,,,
C3202839,XT25F128FWOIGT-W,XTX,,WSON-8-EP(5x6),2.7V~3.6V 128Mbit 133MHz SPI WSON-8-EP(5x6) Memory (ICs) RoHS,YES,1,1.5858,1.59,,,
C2906948,FRC0402J512 TS,FOJAN,,0402,5.1kΩ ±5% 62.5mW 0402 Thick Film Resistor,YES,100,0.0005,0.05,,,
C367479,WR02X1181FAL,Walsin,,0201,50mW 1.18kΩ 25V Thick Film Resistor ±200ppm/℃ ±1% 0201 Chip Resistor - Surface Mount RoHS,YES,100,0.0016,0.16,,,
C114765,RC0402FR-0722RL,YAGEO,,0402,22Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0009,0.09,,,
C307711,MLG0603P3N0CT000,TDK,,0201,450mA 3nH 140mΩ Multilayer inductor 0201 Fixed Inductors RoHS,YES,100,0.0046,0.46,,,
C307423,CL05A475MQ5NRNC,Samsung Electro-Mechanics,,0402,4.7uF ±20% 6.3V Ceramic Capacitor X5R 0402,YES,50,0.0035,0.18,,,
C6119792,CGA0402X5R105K160GT,HRE,,0402,1uF ±10% 16V Ceramic Capacitor X5R 0402,YES,100,0.0022,0.22,,,
C315248,CL05A106MP5NUNC,Samsung Electro-Mechanics,,0402,10uF ±20% 10V Ceramic Capacitor X5R 0402,YES,100,0.0095,0.95,,,
C5142542,TCC0201COG200J500ZT,CCTC,,0201,20pF ±5% 50V Ceramic Capacitor C0G 0201,YES,100,0.0006,0.06,,,
C50380690,LCK-TF-109H4508-WLG,LCKELEC,,SMD,-30℃~+80℃ Push-Pull 4.5mm Connector and Ejector MicroSD Card (TF Card) SMD PC Card Sockets RoHS,YES,20,0.16,3.20,,,
